id,bbox_n_yolo
0257438d-8365-4000-935e-3de03114734e,"[[0.280469, 0.4375, 0.335938, 0.753125], [0.739062, 0.420312, 0.421875, 0.7375]]"
025b6ef8-0fd0-4900-8519-52dc9181f3f1,"[[0.296094, 0.425781, 0.348438, 0.607812], [0.695312, 0.484375, 0.340625, 0.703125]]"
0266f96e-df45-4d2c-b445-bc96485b8f12,"[[0.29375, 0.482031, 0.375, 0.729688], [0.682031, 0.459375, 0.310937, 0.70625]]"
0280a39c-4891-4a7b-8073-710c3f5577a3,"[[0.40625, 0.486719, 0.2625, 0.842187], [0.702344, 0.49375, 0.251563, 0.846875]]"
029216c8-ea0d-47bb-88fd-bf611cc5d1fc,"[[0.274219, 0.460938, 0.351562, 0.6375], [0.71875, 0.439063, 0.4375, 0.63125]]"
0295573e-1bbe-4f14-83c2-32449fa79f10,"[[0.289062, 0.527344, 0.403125, 0.798438], [0.755469, 0.527344, 0.407813, 0.823438]]"
0297e501-88b5-4ec0-a2fd-50a7c70b42eb,"[[0.261719, 0.392188, 0.354687, 0.5], [0.690625, 0.395313, 0.35625, 0.490625]]"
029a7647-5a1b-45fd-bae0-35e4fa49f785,"[[0.303906, 0.425781, 0.339062, 0.567187], [0.676562, 0.453906, 0.2875, 0.639062]]"
02de832c-0929-4d8e-a333-6fd53367c63e,"[[0.342187, 0.502344, 0.34375, 0.692187], [0.736719, 0.507031, 0.335938, 0.707812]]"
02e141b9-8bc0-45df-be3a-5508768412c6,"[[0.31875, 0.533594, 0.28125, 0.635938], [0.65625, 0.494531, 0.325, 0.595313]]"
02e4191e-fb03-4581-914c-f0438a17e53e,"[[0.270313, 0.475781, 0.415625, 0.754687], [0.735938, 0.471094, 0.415625, 0.792188]]"
02f6ab3b-7793-4d67-87e3-868911a399b7,"[[0.278906, 0.410156, 0.382812, 0.620313], [0.728125, 0.43125, 0.375, 0.659375]]"
0300267e-bb80-4c68-b57c-d58338d303a0,"[[0.354687, 0.414062, 0.278125, 0.43125], [0.699219, 0.403906, 0.245312, 0.417187]]"
0353021e-7391-4aa5-80ca-d57a51123304,"[[0.241406, 0.426563, 0.392188, 0.784375], [0.689063, 0.427344, 0.38125, 0.745313]]"
036244ed-39bf-473d-97b1-2646ef0e9712,"[[0.31875, 0.403906, 0.38125, 0.623437], [0.753125, 0.390625, 0.375, 0.590625]]"
03682e3c-d601-4e35-9ba5-06e85bba5c7c,"[[0.278906, 0.5, 0.401562, 0.828125], [0.71875, 0.497656, 0.3625, 0.845313]]"
036a1ed9-6ce8-4a5c-80aa-4790abe94dfc,"[[0.289062, 0.491406, 0.415625, 0.798438], [0.730469, 0.482812, 0.360938, 0.8125]]"
037e120a-24fa-4f9c-8813-111136e3c288,"[[0.286719, 0.448437, 0.357812, 0.85], [0.678125, 0.461719, 0.375, 0.848437]]"
03946ed8-d581-4403-b052-753820035d6d,"[[0.291406, 0.523438, 0.360938, 0.715625], [0.692187, 0.532031, 0.346875, 0.717187]]"
03b10fa5-e7c3-4726-818f-ecbace9da737,"[[0.334375, 0.458594, 0.34375, 0.695312], [0.716406, 0.467969, 0.310937, 0.742188]]"
03da08b4-9f24-4822-8b2b-4abf27e3c9a8,"[[0.264844, 0.621875, 0.357812, 0.690625], [0.654687, 0.614844, 0.315625, 0.673438]]"
03dedd9f-7e97-42dd-99aa-afcb09e0395a,"[[0.285156, 0.403125, 0.292187, 0.628125], [0.6125, 0.422656, 0.29375, 0.654687]]"
03e5bc75-633b-40d1-88a7-0b5fad2eba85,"[[0.282813, 0.520312, 0.396875, 0.7875], [0.723437, 0.532031, 0.334375, 0.864062]]"
03f43232-8362-4a4b-8632-aa336ce7ac08,"[[0.366406, 0.490625, 0.320312, 0.671875], [0.748437, 0.501563, 0.328125, 0.74375]]"
03f43302-39f0-48a1-ae3d-0c6c611b9302,"[[0.3, 0.430469, 0.4125, 0.698438], [0.720313, 0.430469, 0.365625, 0.720313]]"
0409d9ce-34d6-4ef9-8a80-6f01f68e6762,"[[0.250781, 0.471875, 0.429688, 0.71875], [0.760938, 0.46875, 0.421875, 0.734375]]"
040d29d8-e737-4236-9466-649256f9ca53,"[[0.308594, 0.449219, 0.360938, 0.582812], [0.732031, 0.464062, 0.379688, 0.65]]"
04158595-a45e-402c-94e9-df6fce1bb6bf,"[[0.267969, 0.384375, 0.351562, 0.478125], [0.69375, 0.446875, 0.30625, 0.575]]"
04204973-a034-4a50-a43e-2ae45186aa50,"[[0.289062, 0.448437, 0.409375, 0.8625], [0.757031, 0.453906, 0.370312, 0.898438]]"
042bde1a-88c1-4ae5-af0c-1a409e1e09ee,"[[0.329688, 0.398438, 0.33125, 0.6375], [0.733594, 0.450781, 0.348438, 0.745313]]"
043bf858-b33e-463b-98f5-32c0e75e49b3,"[[0.245312, 0.419531, 0.359375, 0.626563], [0.636719, 0.426563, 0.326562, 0.5875]]"
0456cd35-da6b-459a-8ca6-47af176000c3,"[[0.348438, 0.38125, 0.278125, 0.5625], [0.673438, 0.370312, 0.290625, 0.5375]]"
045e3b0d-46ef-4a89-8795-0a85a2be0d6b,"[[0.297656, 0.496875, 0.332813, 0.878125], [0.721094, 0.489063, 0.410938, 0.921875]]"
04707463-aae0-4989-ae73-f9162275444e,"[[0.307031, 0.385156, 0.348438, 0.560937], [0.696094, 0.415625, 0.335938, 0.59375]]"
04c17986-8a5d-446f-a3ec-46ace41aeca8,"[[0.280469, 0.494531, 0.264062, 0.926562], [0.632031, 0.526563, 0.310937, 0.9125]]"
050068ca-78f7-4394-b8de-6ebe347192e9,"[[0.322656, 0.421094, 0.360938, 0.548438], [0.723437, 0.417187, 0.3625, 0.55]]"
05073cbd-ad54-456d-9de6-b468db719b57,"[[0.713281, 0.455469, 0.382812, 0.645312], [0.266406, 0.467969, 0.373437, 0.682813]]"
0523a43b-64f4-4ffb-81dd-1e6be8009178,"[[0.235937, 0.441406, 0.40625, 0.620313], [0.625, 0.522656, 0.3, 0.732812]]"
053208fa-ac79-46e2-9e78-f219ac122513,"[[0.290625, 0.469531, 0.3125, 0.742188], [0.682813, 0.492188, 0.340625, 0.83125]]"
053f237f-c835-4067-8a74-a0b7641bdaca,"[[0.271094, 0.48125, 0.432812, 0.746875], [0.734375, 0.457813, 0.3875, 0.678125]]"
053f400c-145d-4770-841c-3ea961bb3644,"[[0.264062, 0.4875, 0.365625, 0.746875], [0.704688, 0.467969, 0.3625, 0.742188]]"
056fb495-574d-4b37-9f89-77b9ced2ef43,"[[0.33125, 0.447656, 0.30625, 0.757812], [0.736719, 0.467969, 0.348438, 0.807813]]"
0582f503-a451-448f-87a5-a67589c5f7c5,"[[0.273438, 0.382812, 0.3875, 0.590625], [0.707812, 0.396875, 0.371875, 0.609375]]"
05905ac6-1b8f-4793-a7d2-ac794b1bb2ff,"[[0.328125, 0.45, 0.290625, 0.76875], [0.729688, 0.479687, 0.359375, 0.8125]]"
0598a87e-6a8a-4439-a6ec-cd3395636b30,"[[0.333594, 0.338281, 0.279687, 0.664062], [0.660156, 0.355469, 0.257812, 0.701562]]"
05ad9fb7-7500-492a-a5db-d8e1c69855e5,"[[0.308594, 0.477344, 0.317188, 0.426563], [0.603125, 0.5375, 0.2375, 0.546875]]"
05c8ec6f-c41d-4dbe-a6a0-2875334b0b9e,"[[0.334375, 0.500781, 0.253125, 0.639062], [0.65, 0.514844, 0.25, 0.673438]]"
05cd4a95-8187-41ac-929c-226015cceefb,"[[0.35, 0.392188, 0.328125, 0.684375], [0.761719, 0.419531, 0.367188, 0.723437]]"
05d16b06-ffb2-40ab-b64a-299448999f72,"[[0.390625, 0.448437, 0.296875, 0.565625], [0.723437, 0.449219, 0.30625, 0.598437]]"
05d3b194-78bb-4fe9-aa1c-0f1d76e5641d,"[[0.375, 0.472656, 0.25, 0.673438], [0.721094, 0.471875, 0.285938, 0.653125]]"
05ee72bf-6d12-4ac5-a47e-f43a7ea52a40,"[[0.347656, 0.401562, 0.295312, 0.515625], [0.682813, 0.414844, 0.26875, 0.548438]]"
05f6eacc-e1a9-4b88-a0ec-f4ab5ba72e93,"[[0.301563, 0.492969, 0.359375, 0.610938], [0.732812, 0.575781, 0.34375, 0.801562]]"
05f88159-8c6e-4d9a-92a8-a20c6fb2930d,"[[0.236719, 0.446094, 0.376563, 0.723437], [0.664844, 0.45625, 0.389062, 0.765625]]"
05fa458a-9e6a-4e02-b85c-c8d67c3161cf,"[[0.311719, 0.465625, 0.339062, 0.70625], [0.678906, 0.482812, 0.270313, 0.7375]]"
0609cacd-b9a6-485f-a6f1-5bb7b88db8dd,"[[0.267969, 0.450781, 0.376563, 0.698438], [0.714063, 0.434375, 0.371875, 0.684375]]"
06199c4d-5f6f-4736-81b1-07bf5b76bd78,"[[0.284375, 0.504687, 0.4, 0.734375], [0.726562, 0.509375, 0.390625, 0.771875]]"
061ccabd-b0cf-4238-a053-28a1960c1923,"[[0.314844, 0.414062, 0.285938, 0.603125], [0.653906, 0.400781, 0.270313, 0.560937]]"
0623ea89-c89c-4743-b492-55e398de4c9b,"[[0.329688, 0.454688, 0.359375, 0.58125], [0.734375, 0.489063, 0.31875, 0.65]]"
063f63c9-7e5b-4360-8d19-0060d849fdbc,"[[0.315625, 0.483594, 0.33125, 0.723437], [0.724219, 0.439063, 0.348438, 0.678125]]"
065158ed-021d-4d2d-a2e2-79b69a03853d,"[[0.286719, 0.516406, 0.351562, 0.726562], [0.740625, 0.505469, 0.43125, 0.682813]]"
06605bfa-0370-4979-a2bd-11173002abd1,"[[0.2625, 0.560937, 0.353125, 0.85], [0.680469, 0.559375, 0.364063, 0.865625]]"
0666201a-fab4-4828-81dd-73292312c766,"[[0.3, 0.40625, 0.35625, 0.559375], [0.702344, 0.419531, 0.317188, 0.639062]]"
0678ff6a-7402-4065-8566-be18d983fbbf,"[[0.249219, 0.532813, 0.360938, 0.74375], [0.676562, 0.521875, 0.384375, 0.753125]]"
067b7ea4-bc57-41d5-ae13-5137f9df5111,"[[0.294531, 0.567969, 0.373437, 0.845313], [0.717187, 0.560937, 0.315625, 0.84375]]"
068ae297-8397-463e-927e-cb6693aeb8b5,"[[0.308594, 0.448437, 0.360938, 0.81875], [0.722656, 0.4125, 0.348438, 0.809375]]"
068e882a-df1e-4d62-92a0-9eef12024b01,"[[0.25, 0.435156, 0.35625, 0.695312], [0.670312, 0.434375, 0.334375, 0.684375]]"
06941d8e-2034-4503-b8d5-0eb13fc52f75,"[[0.717187, 0.465625, 0.35, 0.721875], [0.321875, 0.515625, 0.303125, 0.840625]]"
069554dc-f5b0-4947-be4c-873dd6360b5a,"[[0.292187, 0.49375, 0.4125, 0.659375], [0.738281, 0.507812, 0.407813, 0.7]]"
069cfd47-0169-43e7-89a1-0be0fa24105b,"[[0.299219, 0.464062, 0.348438, 0.6875], [0.655469, 0.46875, 0.307812, 0.709375]]"
06a7820e-8f38-4958-b871-518030a63432,"[[0.290625, 0.486719, 0.31875, 0.676562], [0.68125, 0.501563, 0.375, 0.7375]]"
06b2f933-3ea2-4477-ac27-18f732d1f4e1,"[[0.241406, 0.475781, 0.335938, 0.689063], [0.65625, 0.454688, 0.378125, 0.665625]]"
06ba1322-0274-47e0-b7eb-07c11d96360f,"[[0.266406, 0.457031, 0.389062, 0.714063], [0.747656, 0.521875, 0.401562, 0.825]]"
06bc1cfe-23a0-43a4-a01b-dfa10314bbb0,"[[0.301563, 0.385937, 0.33125, 0.50625], [0.7, 0.407813, 0.33125, 0.55625]]"
06bdaf90-df6a-46ae-ac6d-a4afb7937c8d,"[[0.314844, 0.36875, 0.339062, 0.55625], [0.707031, 0.373437, 0.332813, 0.584375]]"
06ce1fa2-986b-4936-82f5-7b06d0d3b4ff,"[[0.24375, 0.472656, 0.346875, 0.864062], [0.646094, 0.503125, 0.285938, 0.91875]]"
06ea9b14-2cac-42c6-b3d1-b955feafee23,"[[0.353906, 0.494531, 0.289062, 0.670312], [0.660156, 0.507812, 0.245312, 0.69375]]"
06f4f57e-ab00-459a-aa03-2ffe1dc75bdb,"[[0.270313, 0.4875, 0.446875, 0.778125], [0.751563, 0.496875, 0.38125, 0.771875]]"
06f6f5e7-610c-4122-8731-aac15337b5e8,"[[0.2875, 0.460938, 0.3625, 0.65625], [0.727344, 0.461719, 0.373437, 0.685937]]"
0700bc73-b6e3-412e-9e2f-aa0b83424804,"[[0.332813, 0.528125, 0.3375, 0.821875], [0.703125, 0.525, 0.31875, 0.803125]]"
07015c3f-79d8-4340-9baf-255b2a5418bd,"[[0.678906, 0.458594, 0.310937, 0.507812], [0.310937, 0.442188, 0.315625, 0.48125]]"
07045469-bbc4-42ca-a8b9-9c83ef77f704,"[[0.346875, 0.411719, 0.3125, 0.614062], [0.710938, 0.410938, 0.321875, 0.64375]]"
070efe1f-2b7a-4585-9e9b-561a4432fa57,"[[0.314844, 0.484375, 0.376563, 0.65], [0.721875, 0.488281, 0.35, 0.679688]]"
07120dca-52d2-4c79-84fd-a11f995df2fd,"[[0.710938, 0.4375, 0.334375, 0.621875], [0.278125, 0.439063, 0.425, 0.675]]"
0716f059-34cb-4046-ae86-46b47756fc2b,"[[0.296094, 0.541406, 0.357812, 0.632812], [0.725, 0.510938, 0.35625, 0.61875]]"
0725cf2e-03d2-4e38-90e1-a9a85da37276,"[[0.234375, 0.589844, 0.3875, 0.779687], [0.672656, 0.597656, 0.373437, 0.782813]]"
07290e87-0c95-4daf-ae97-2f7f971f23c0,"[[0.690625, 0.457813, 0.30625, 0.546875], [0.3125, 0.432031, 0.325, 0.504687]]"
072e0dbf-11d7-4c57-8161-10c8e7b2f0bf,"[[0.23125, 0.435156, 0.3125, 0.604688], [0.65625, 0.438281, 0.3625, 0.673438]]"
0736db5d-1989-4e0f-99c2-c72c7fa90e8e,"[[0.298438, 0.382031, 0.353125, 0.520312], [0.7125, 0.391406, 0.359375, 0.567187]]"
07391275-3a53-4eb2-bb8e-160e9dc0a3c2,"[[0.367188, 0.499219, 0.346875, 0.629687], [0.769531, 0.526563, 0.376563, 0.659375]]"
073c6a26-29f2-4e61-9c52-7d41f3807cca,"[[0.305469, 0.520312, 0.304688, 0.68125], [0.692969, 0.507031, 0.342187, 0.664062]]"
074113b7-da5f-4742-93fd-654ee20939f5,"[[0.347656, 0.367969, 0.282813, 0.614062], [0.692969, 0.338281, 0.323437, 0.601562]]"
07444c7a-580b-4494-a883-3b33361a24ac,"[[0.748437, 0.523438, 0.378125, 0.68125], [0.282813, 0.492188, 0.384375, 0.66875]]"
0749e0ce-a84e-49bf-9275-a1ebd9281e3b,"[[0.282813, 0.453906, 0.30625, 0.767188], [0.666406, 0.45625, 0.332813, 0.771875]]"
07534f30-58a1-4043-b70e-156cdfafe1c6,"[[0.7125, 0.444531, 0.31875, 0.739062], [0.317969, 0.432812, 0.342187, 0.73125]]"
0755dd30-bcc6-4f75-9cf9-914962477fca,"[[0.340625, 0.453125, 0.3, 0.565625], [0.653906, 0.459375, 0.245312, 0.578125]]"
0759abcb-6e42-4837-956f-d4e8a4cd3537,"[[0.235937, 0.542188, 0.378125, 0.86875], [0.6625, 0.540625, 0.3125, 0.903125]]"
075f24e4-0d8e-4606-8e68-ee5ea0b953b5,"[[0.335938, 0.520312, 0.296875, 0.59375], [0.713281, 0.457813, 0.348438, 0.5375]]"
075f7167-e5ac-4c3d-954a-33576cb50600,"[[0.325, 0.411719, 0.30625, 0.639062], [0.725781, 0.382031, 0.370312, 0.623437]]"
076149ed-e1a7-4424-b283-18161c95e0e2,"[[0.2875, 0.45, 0.3625, 0.63125], [0.696875, 0.470313, 0.353125, 0.678125]]"
076ad555-8eff-4022-9c08-7205c59a75d2,"[[0.31875, 0.527344, 0.3, 0.823438], [0.6625, 0.532031, 0.31875, 0.845313]]"
07701659-5766-4828-bb65-27d208a42daf,"[[0.300781, 0.354687, 0.417187, 0.646875], [0.801562, 0.358594, 0.378125, 0.670312]]"
07705011-0d7a-46b9-ab51-b4d5f2bd495f,"[[0.289062, 0.453125, 0.396875, 0.615625], [0.716406, 0.435937, 0.360938, 0.578125]]"
07752357-2f21-4e42-9015-27886b3d5857,"[[0.346094, 0.449219, 0.342187, 0.720313], [0.732031, 0.501563, 0.317188, 0.828125]]"
07755c77-1391-49f1-8fdb-832082887aec,"[[0.699219, 0.524219, 0.304688, 0.829688], [0.307031, 0.5, 0.354687, 0.790625]]"
0777be71-3ed5-4d03-a073-d34ae7426838,"[[0.232031, 0.594531, 0.401562, 0.707812], [0.680469, 0.608594, 0.307812, 0.742188]]"
07798a86-803e-4a25-b1ca-3394ae293be5,"[[0.667969, 0.46875, 0.339062, 0.734375], [0.285938, 0.4625, 0.353125, 0.759375]]"
07888d77-acd2-4e12-9f43-9272ae1cfe9e,"[[0.75625, 0.480469, 0.384375, 0.739062], [0.280469, 0.4375, 0.417187, 0.6875]]"
079269e0-96f3-4964-8def-b13bd0aa837a,"[[0.25, 0.446875, 0.4125, 0.796875], [0.754687, 0.45, 0.475, 0.803125]]"
0793267b-ba31-4f77-bee8-acde7a571231,"[[0.290625, 0.405469, 0.3875, 0.704688], [0.727344, 0.417187, 0.367188, 0.740625]]"
0796d0a6-8aa5-4edf-9c82-33523d8da0c2,"[[0.321875, 0.5, 0.28125, 0.83125], [0.667969, 0.503125, 0.292187, 0.815625]]"
079fa565-0c4e-46a2-9a3c-f6341d97fd5c,"[[0.284375, 0.478125, 0.3625, 0.696875], [0.742969, 0.5, 0.420312, 0.7375]]"
07abb49d-c23c-41a5-b38a-b093011b59dd,"[[0.298438, 0.45, 0.353125, 0.725], [0.692187, 0.458594, 0.315625, 0.751563]]"
07aeb82e-773b-4498-95c0-fabdf4985bb2,"[[0.257031, 0.439844, 0.385937, 0.679688], [0.709375, 0.4125, 0.38125, 0.646875]]"
07b24c8e-be16-4d5d-992e-b66e7930a387,"[[0.276562, 0.446875, 0.365625, 0.64375], [0.742969, 0.457031, 0.389062, 0.654687]]"
07bc7cbd-b313-47c0-b0eb-89d176a71810,"[[0.235156, 0.465625, 0.370312, 0.796875], [0.696875, 0.435156, 0.3875, 0.739062]]"
07c5e2ff-fd3a-47c7-936f-33f34d11b41d,"[[0.257812, 0.453906, 0.371875, 0.679688], [0.650781, 0.457813, 0.329688, 0.665625]]"
07c6955b-57c1-4ba8-8b07-81b333624ed9,"[[0.235156, 0.569531, 0.389062, 0.729688], [0.7, 0.584375, 0.334375, 0.753125]]"
07cdb450-541e-4810-900b-b3b7b9846e8b,"[[0.31875, 0.535156, 0.325, 0.757812], [0.674219, 0.542969, 0.307812, 0.757812]]"
07d45be8-4344-473d-b377-26354b64078e,"[[0.323437, 0.551562, 0.378125, 0.628125], [0.732031, 0.559375, 0.339062, 0.634375]]"
07daedd9-d1b8-4ff1-b203-24e71326d083,"[[0.35, 0.457031, 0.34375, 0.692187], [0.708594, 0.467969, 0.260937, 0.729688]]"
07ec1c73-c77a-4b43-bcc6-96f94cbd32ac,"[[0.339062, 0.426563, 0.278125, 0.546875], [0.676562, 0.434375, 0.303125, 0.565625]]"
07f1ae3f-2482-4c76-8801-bc4895b3f46e,"[[0.289844, 0.416406, 0.348438, 0.657813], [0.7, 0.400781, 0.35, 0.654687]]"
07f59492-1b36-4ff7-98b0-df996bf4fc4b,"[[0.282031, 0.420312, 0.398438, 0.6], [0.676562, 0.425781, 0.346875, 0.595313]]"
07fc3068-9ae7-4ea4-958d-e6e6e49d5403,"[[0.29375, 0.407813, 0.35625, 0.56875], [0.682031, 0.429688, 0.329688, 0.6125]]"
0803b0fa-c026-40d3-b9b6-43b843d17632,"[[0.229687, 0.395313, 0.403125, 0.725], [0.7, 0.421875, 0.33125, 0.803125]]"
080f1469-5384-4678-b0ec-513ae837b583,"[[0.35, 0.339844, 0.29375, 0.473438], [0.714844, 0.365625, 0.382812, 0.56875]]"
08226aab-e8d2-401f-8b8d-1a2a51234c42,"[[0.735156, 0.460938, 0.367188, 0.70625], [0.301563, 0.471094, 0.384375, 0.714063]]"
0838fe18-1e25-4d02-8287-7692d2a5bb57,"[[0.292969, 0.508594, 0.442188, 0.770312], [0.721094, 0.482812, 0.354687, 0.8]]"
083e7d20-cee0-482e-acb5-029868b78fb8,"[[0.2375, 0.410938, 0.303125, 0.625], [0.674219, 0.398438, 0.395313, 0.6875]]"
08483dbc-6223-43e2-b049-b1f86ef8bbcc,"[[0.282813, 0.397656, 0.325, 0.523438], [0.678125, 0.433594, 0.31875, 0.595313]]"
084db3b9-8b5b-494d-8e81-7b6b98de6287,"[[0.289844, 0.451562, 0.332813, 0.6875], [0.698438, 0.492188, 0.334375, 0.721875]]"
085f5a19-2746-43e1-a3c7-34ce070d1ad8,"[[0.300781, 0.555469, 0.401562, 0.804688], [0.763281, 0.551562, 0.401562, 0.83125]]"
0864e801-58cb-4df8-b7a8-dd9e32c97178,"[[0.288281, 0.478125, 0.373437, 0.659375], [0.705469, 0.471094, 0.354687, 0.601562]]"
